plan_id,case_label,site_group,mode,mode_label,ptv_d95,pvdr,spill_shell_0_5_mean,spill_shell_5_15_mean,cord_d2,brainstem_d2,parotid_r_mean,gtv_d95,thyroid_mean,body_dmax,parotid_l_mean,spill_shell_15_30_mean,outside_gtv_d2,oar_adjacent_outside_gtv_mean,ptv_valley_outside_gtv_mean,peak_mean,valley_mean,peak_voxels,valley_voxels,sample_id,risk_score,rank
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,bystander_with_sink,"Bystander, anatomical vascular sink",11.557587909698487,1.4726159340588587,17.318439230782968,13.2360307128498,26.836784667968747,33.3788558959961,12.442942417992485,11.644879913330078,18.230182835192135,34.98762512207031,11.233836414838079,8.175295250947586,23.604865798950193,14.352213619357094,17.31036491189897,27.764984726905823,18.854192790362738,256,13699,baseline,-2.3236012114538163,4
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,physical_only,Physical-only,3.4999999046325683,2.0117584786890403,6.226131111328786,4.913785900432322,17.382209701538084,10.529837722778321,7.717367107699616,3.8106948733329773,5.361402574153876,23.051963806152344,1.7204651635102552,3.643718089623293,14.27351491928102,5.874452227000148,6.226131111328786,13.806424663238918,6.862863912091404,776,18122,baseline,-0.8603046842174225,5
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,bystander_no_sink,"Bystander, no vascular sink",16.378916549682618,1.3373196558448763,19.240007847686265,15.924955215495054,29.0219873046875,26.7155403137207,21.359469288527364,18.509352684020996,16.81772720407775,33.85992431640625,10.055352006777369,12.257435410914875,24.028091163635253,16.737496724658023,19.240007847686265,28.584551118083837,21.374509073543095,776,18122,baseline,-0.3183310134654508,5
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,bystander_with_sink,"Bystander, anatomical vascular sink",15.316384601593018,1.2337319949045922,18.625379828879385,15.563004765239251,28.89886489868164,26.52142364501953,20.608111890157065,17.25717258453369,16.729149988192155,30.490402221679688,9.473345238271385,12.07537999795724,23.484844360351563,16.118438227698217,18.625379828879385,25.358214825699008,20.55407084393562,776,18122,baseline,0.8222465080136654,6
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,physical_only,Physical-only,3.499999833106995,1.7061907148943334,7.543073716337961,6.422456015930188,5.403743743896482,6.732566375732423,5.246605821811792,3.659237813949585,10.82258131039032,20.705089569091797,0.2381690007380464,5.015193713692018,13.890360832214348,4.3800665012154365,7.543073716337961,13.861065228780111,8.123983507692776,237,16899,baseline,1.445279533608693,7
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,bystander_no_sink,"Bystander, no vascular sink",16.295994567871094,1.2246779944083792,20.388652419558262,17.669132993104984,17.057638473510742,18.34265724182129,19.01815072261926,17.542485427856445,21.36233141990638,32.01411819458008,3.166494779634957,14.535977587560234,23.91299781799316,13.560119097109697,20.388652419558262,27.51898353512277,22.47038295843367,237,16899,baseline,1.9653841433860033,6
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,bystander_with_sink,"Bystander, anatomical vascular sink",15.424213027954101,1.2460151176154075,19.84719120870724,17.23169880635692,16.944684600830076,17.962228927612305,18.37793348485773,16.8212833404541,21.30780975737439,32.01300048828125,2.9730308049857013,14.199920298394748,23.781517410278298,12.978341233721956,19.84719120870724,27.518978883445513,22.08558988923878,237,16899,baseline,-0.5090543743841642,5
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,physical_only,Physical-only,3.5000000953674317,2.1613267665900513,6.415503504528602,5.824338141293821,9.003155403137207,8.335540504455567,3.8203198885676835,3.6924392938613892,7.974017617503187,21.14145851135254,5.449974843227502,4.396317056972474,12.118023223876953,5.312555811819674,6.415503504528602,13.689966307953,6.334056709782856,512,16591,baseline,-5.394933681127745,1
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,bystander_no_sink,"Bystander, no vascular sink",16.43823661804199,1.3677534899861903,19.424433926897585,16.9519678062656,20.310984573364255,19.92418960571289,14.783933421818897,18.2702543258667,20.06118550610616,33.59848403930664,16.51477882693512,14.364254384263317,22.615083847045902,16.25155079431812,19.424433926897585,28.677619233727455,20.966950143930543,512,16591,baseline,-3.755454376002443,3
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,bystander_with_sink,"Bystander, anatomical vascular sink",14.987488842010498,1.401152957085665,18.720794601010095,16.2288996850962,20.21497749328613,19.72365379333496,14.255865263698077,17.339620208740236,19.983724003605797,33.591957092285156,16.044062568202165,13.85340890526039,22.594829559326172,15.442848191425718,18.720794601010095,28.6676260009408,20.460026049238888,512,16591,baseline,-3.6042279309811844,3
